scenario,model,dataset,mae,rmse,mape,source,target
zero_shot,chronos,cmapss/FD001,14.961389541625977,18.251746525215147,86.52045725793741,,
zero_shot,chronos,phm_milling,3.2122550010681152,3.9493399732569534,238.15389670661423,,
zero_shot,chronos,wind_scada,0.7015150189399719,0.900134499089588,105.95348121415553,,
zero_shot,lag_llama,cmapss/FD001,15.186690330505371,18.44547877545767,87.43306723453222,,
zero_shot,lag_llama,phm_milling,3.2499477863311768,3.9686178350594497,219.15574329862778,,
zero_shot,lag_llama,wind_scada,0.763439416885376,0.9892258784872257,127.50259324855901,,
zero_shot,moment,cmapss/FD001,15.890652656555176,19.0237422973529,94.13339241070966,,
zero_shot,moment,phm_milling,3.4266724586486816,4.095982765325408,88.85936063842756,,
zero_shot,moment,wind_scada,0.9089639782905579,1.100104970691812,128.3941705108438,,
zero_shot,patchtst,cmapss/FD001,15.071355819702148,18.33764754888023,86.3251240222197,,
zero_shot,patchtst,phm_milling,3.216459035873413,3.950534137392452,233.66847735433188,,
zero_shot,patchtst,wind_scada,0.7013115882873535,0.9220703370640321,119.92984990288893,,
few_shot,chronos,cmapss/FD001,15.864703178405762,18.992679189439514,94.05736987582702,,
few_shot,chronos,phm_milling,3.792011260986328,4.5011440518237755,101.84361437537474,,
few_shot,chronos,wind_scada,0.8926066160202026,1.0512974828821495,103.84003148531737,,
few_shot,lag_llama,cmapss/FD001,15.829662322998047,18.961858110118882,93.70495437431984,,
few_shot,lag_llama,phm_milling,3.7960166931152344,4.506230809016109,101.61435494100618,,
few_shot,lag_llama,wind_scada,0.9028844237327576,1.0604602644875798,103.63476159274067,,
few_shot,moment,cmapss/FD001,15.707145690917969,18.852076473256616,92.45449045750618,,
few_shot,moment,phm_milling,3.7917609214782715,4.496474050285145,102.99679134836603,,
few_shot,moment,wind_scada,0.9038813710212708,1.0614913191581896,103.57334325851866,,
few_shot,patchtst,cmapss/FD001,15.15208911895752,18.40868627101373,86.88078456679776,,
few_shot,patchtst,phm_milling,3.2434885501861572,3.963121884039024,220.83658001384282,,
few_shot,patchtst,wind_scada,0.6992182731628418,0.9179087517792919,117.76099218984332,,
cross_condition,chronos,FD001,14.961430549621582,18.251981735229492,,FD001,FD001
cross_condition,chronos,FD002,15.894770622253418,19.029897689819336,,FD001,FD002
cross_condition,chronos,FD003,18.387371063232422,23.469629287719727,,FD001,FD003
cross_condition,chronos,FD004,19.656604766845703,23.881126403808594,,FD001,FD004
cross_condition,lag_llama,FD001,15.185806274414062,18.445571899414062,,FD001,FD001
cross_condition,lag_llama,FD002,16.12881088256836,19.237173080444336,,FD001,FD002
cross_condition,lag_llama,FD003,18.793994903564453,23.846324920654297,,FD001,FD003
cross_condition,lag_llama,FD004,19.896717071533203,24.08346939086914,,FD001,FD004
cross_condition,moment,FD001,15.890687942504883,19.02387809753418,,FD001,FD001
cross_condition,moment,FD002,16.02603530883789,19.150894165039062,,FD001,FD002
cross_condition,moment,FD003,20.337921142578125,25.222043991088867,,FD001,FD003
cross_condition,moment,FD004,19.7963924407959,24.002439498901367,,FD001,FD004
cross_condition,patchtst,FD001,15.071355819702148,18.337648391723633,,FD001,FD001
cross_condition,patchtst,FD002,15.783552169799805,18.939781188964844,,FD001,FD002
cross_condition,patchtst,FD003,18.667638778686523,23.72443199157715,,FD001,FD003
cross_condition,patchtst,FD004,19.541902542114258,23.78590202331543,,FD001,FD004
